dataset,participant_index,residual_loo_reliability
zuco,1,0.054338562364
zuco,2,0.0405693729103
zuco,3,0.0532645466893
zuco,4,0.0519686173533
zuco,5,0.0655860331979
zuco,6,0.039096156577
zuco,7,0.0936756696997
zuco,8,0.0804030395054
zuco,9,0.0589112991167
zuco,10,0.0901918091228
zuco,11,0.0532405932557
zuco,12,0.105003734221
zuco,13,0.0779093494591
zuco,14,0.0410901604265
zuco,15,0.0830818182645
zuco,16,0.0782617838912
zuco,17,0.0795362065454
fmri,1,0.714951443191
fmri,2,0.657216294797
fmri,3,0.676036076488
fmri,4,0.667335096838
fmri,5,0.624657717216
fmri,6,0.64749508431
fmri,7,0.633122215322
fmri,8,0.615444884073
fmri,9,0.647701053138
fmri,10,0.635171559341
fmri,11,0.675726566106
fmri,12,0.644322527663
