dataset,participant_index,text_only_residual_rsa,neural_guided_residual_rsa,delta_rsa
zuco,1,0.00809554830518,0.00832610011118,0.000230551806004
zuco,2,-0.00268571193345,-0.00224051212933,0.000445199804118
zuco,3,-0.0169750329728,-0.0153315208811,0.00164351209168
zuco,4,-0.00353070311581,-0.00248015875068,0.00105054436513
zuco,5,-0.00913542823489,-0.00811402643458,0.00102140180031
zuco,6,-0.00849284917068,-0.00735451527259,0.00113833389809
zuco,7,0.0107596669498,0.013384524176,0.00262485722622
zuco,8,-0.0256517901593,-0.0242960484497,0.00135574170964
zuco,9,-0.0102008340188,-0.00871371926004,0.00148711475871
zuco,10,0.0054167660195,0.00854182022253,0.00312505420302
zuco,11,0.000214898546354,0.00186806391613,0.00165316536978
zuco,12,-0.00654779247871,-0.00293352450587,0.00361426797284
zuco,13,-0.0213199731175,-0.0179032971782,0.00341667593929
zuco,14,-0.00991070330924,-0.00836923079115,0.00154147251809
zuco,15,-0.00897616743054,-0.00698718319985,0.00198898423069
zuco,16,-0.0237400955262,-0.0227910989475,0.00094899657872
zuco,17,-0.0126312545814,-0.011634253483,0.000997001098365
fmri,1,0.12561847925,0.126638607718,0.0010201284682
fmri,2,0.115463352093,0.116290619301,0.000827267207276
fmri,3,0.132909408363,0.133845238512,0.000935830148981
fmri,4,0.122899977657,0.123679379905,0.000779402248008
fmri,5,0.114494289178,0.115203737437,0.000709448258128
fmri,6,0.135651168966,0.136571701331,0.0009205323653
fmri,7,0.115223775541,0.115973824783,0.000750049241747
fmri,8,0.112886874385,0.113532377862,0.000645503476845
fmri,9,0.121894361222,0.122882247752,0.000987886529883
fmri,10,0.116152391454,0.116963829606,0.000811438151917
fmri,11,0.114661159761,0.115561183585,0.000900023824282
fmri,12,0.123232274721,0.124174716436,0.000942441714749
